No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,CrossType,Percent_Survival_atend,Cumulative.hrs,BroadMom,BroadDad,crosstype,crosstype2,Survival
6,1,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,C,6,3,3,IndivCross,50,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
6,2,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,C,6,3,3,IndivCross,50,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
6,3,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,C,6,3,3,IndivCross,50,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
6,4,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,C,6,3,3,IndivCross,50,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,0
6,5,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,C,6,3,3,IndivCross,50,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,0
6,6,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,C,6,3,3,IndivCross,50,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,0
7,1,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,2,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,3,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,4,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,5,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,6,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,7,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,8,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,9,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,10,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,11,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,12,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
7,13,2,44539,2021,8:00,Ambient,27.5C,C59,Arlington6 x Davies12,ArlingtonxDavies,H.F.77,Arlington6,Davies12,A. hyacinthus larvae,62,D,21,20,1,IndivCross,95.23809524,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
